iter	Logloss
0	0.5949511404
1	0.5208409251
2	0.4639033251
3	0.4235170284
4	0.3925343882
5	0.3673403574
6	0.3485791846
7	0.3357658489
8	0.3240903882
9	0.3151580674
10	0.3078186196
11	0.3034403904
12	0.2981711753
13	0.2939608596
14	0.2907722517
15	0.2877257961
16	0.2851866678
17	0.2832346672
18	0.2817253014
19	0.2806240657
20	0.2799366291
21	0.278661723
22	0.2777113122
23	0.2771921333
24	0.2767513955
25	0.2765782141
26	0.2758524095
27	0.2753438939
28	0.2748284028
29	0.2742506771
30	0.2739299899
31	0.2736011817
32	0.2731898491
33	0.2729008015
34	0.2727790495
35	0.2725651325
36	0.2724476812
37	0.2721987633
38	0.2720311091
39	0.2720271132
40	0.2720179324
41	0.2718164537
42	0.2717316475
43	0.2715816875
44	0.2714274794
45	0.271295491
46	0.2710992245
47	0.2710214792
48	0.2708141701
49	0.270616591
50	0.2704554883
51	0.2703636252
52	0.2703466558
53	0.2701983621
54	0.2699553031
55	0.2695991869
56	0.2695520952
57	0.2694151424
58	0.2693074538
59	0.2691694458
60	0.2691664287
61	0.2691217698
62	0.2690055354
63	0.268872944
64	0.2688113273
65	0.2686876055
66	0.2686825446
67	0.2686001382
68	0.2683847318
69	0.2683342944
70	0.2682861525
71	0.2682235688
72	0.2681789907
73	0.2680633386
74	0.2679706076
75	0.2678836253
76	0.2676903616
77	0.2676510219
78	0.2674949572
79	0.2673488402
80	0.2672652479
81	0.2671768487
82	0.2669726256
83	0.266925621
84	0.2669177553
85	0.2668490352
86	0.2668184621
87	0.2667104654
88	0.2667044605
89	0.266678285
90	0.2666638208
91	0.2666607761
92	0.266529484
93	0.2664630301
94	0.2662940381
95	0.2662694076
96	0.2661708983
97	0.2660296358
98	0.265935269
99	0.2659086015
100	0.2658591072
101	0.2657915008
102	0.265719458
103	0.2656375566
104	0.2656318093
105	0.2655917909
106	0.2655529316
107	0.2654464141
108	0.2652764057
109	0.2652615517
110	0.265179108
111	0.2651770459
112	0.2650755257
113	0.2649861596
114	0.2649848601
115	0.2648022087
116	0.2647438704
117	0.2647275506
118	0.2645152102
119	0.2644392513
120	0.2643042951
121	0.2642468549
122	0.2642396407
123	0.2641891524
124	0.2640894077
125	0.2640551069
126	0.263980805
127	0.2638577575
128	0.2638452873
129	0.2637973852
130	0.2637367024
131	0.2636458582
132	0.2635543238
133	0.2634969897
134	0.2633648715
135	0.2632643626
136	0.2632560624
137	0.2630626773
138	0.2630418647
139	0.2630183188
140	0.2627989556
141	0.2626572465
142	0.2626239141
143	0.2624086825
144	0.2623097552
145	0.2622893088
146	0.2622137194
147	0.2620773953
148	0.2619736502
149	0.2618706857
150	0.2617714868
151	0.2617322922
152	0.2616630355
153	0.2616110644
154	0.2614828427
155	0.2614209115
156	0.2613433993
157	0.261209155
158	0.2611648627
159	0.2611496888
160	0.2610322565
161	0.2608468498
162	0.2607205619
163	0.2606595843
164	0.2606431349
165	0.2605972461
166	0.2605726274
167	0.2604966979
168	0.2604045221
169	0.2603484299
170	0.2601997049
171	0.2601355679
172	0.2600627935
173	0.2599887169
174	0.2598338693
175	0.2597857768
176	0.2597662
177	0.2596500417
178	0.2596180572
179	0.2595521974
180	0.2595375879
181	0.2595046165
182	0.259466448
183	0.2594320712
184	0.2593311161
185	0.2591502585
186	0.2590876864
187	0.2590330378
188	0.258963666
189	0.2588466253
190	0.2587726066
191	0.2586629117
192	0.2585400691
193	0.2584775543
194	0.2584236826
195	0.2584063752
196	0.2583819158
197	0.2583758689
198	0.2582818604
199	0.258246199
