iter	Passed	Remaining
0	35	7063
1	72	7145
2	106	7019
3	143	7008
4	194	7593
5	233	7534
6	284	7851
7	321	7711
8	356	7564
9	393	7474
10	429	7382
11	463	7260
12	508	7321
13	544	7238
14	587	7250
15	622	7164
16	657	7081
17	692	7002
18	743	7084
19	778	7008
20	813	6930
21	849	6874
22	883	6802
23	917	6726
24	953	6677
25	989	6620
26	1025	6570
27	1061	6519
28	1095	6457
29	1130	6406
30	1167	6366
31	1207	6338
32	1258	6370
33	1288	6292
34	1325	6249
35	1360	6198
36	1397	6155
37	1432	6108
38	1467	6059
39	1504	6018
40	1541	5976
41	1576	5931
42	1599	5841
43	1634	5793
44	1669	5749
45	1705	5711
46	1743	5674
47	1779	5636
48	1796	5536
49	1831	5495
50	1867	5454
51	1915	5450
52	1951	5413
53	1986	5371
54	2023	5334
55	2059	5296
56	2085	5232
57	2121	5194
58	2156	5153
59	2192	5114
60	2216	5051
61	2252	5012
62	2288	4977
63	2324	4939
64	2359	4901
65	2388	4849
66	2424	4812
67	2459	4774
68	2498	4742
69	2531	4701
70	2562	4655
71	2598	4619
72	2633	4581
73	2674	4553
74	2699	4498
75	2745	4479
76	2781	4443
77	2817	4406
78	2853	4370
79	2892	4338
80	2927	4301
81	2962	4263
82	2999	4227
83	3034	4189
84	3069	4152
85	3107	4119
86	3137	4075
87	3174	4040
88	3210	4004
89	3246	3967
90	3282	3931
91	3320	3897
92	3355	3860
93	3390	3823
94	3427	3788
95	3464	3753
96	3483	3698
97	3519	3663
98	3556	3628
99	3593	3593
100	3629	3557
101	3666	3522
102	3703	3488
103	3742	3454
104	3778	3418
105	3815	3383
106	3851	3347
107	3887	3311
108	3924	3276
109	3959	3239
110	3997	3205
111	4036	3171
112	4073	3136
113	4110	3101
114	4148	3066
115	4187	3032
116	4225	2997
117	4262	2961
118	4300	2927
119	4334	2889
120	4370	2853
121	4407	2818
122	4443	2781
123	4484	2748
124	4520	2712
125	4558	2677
126	4595	2641
127	4632	2605
128	4668	2569
129	4705	2533
130	4742	2498
131	4781	2463
132	4819	2427
133	4867	2397
134	4918	2367
135	4954	2331
136	4994	2296
137	5031	2260
138	5068	2224
139	5104	2187
140	5140	2150
141	5178	2115
142	5215	2078
143	5251	2042
144	5288	2006
145	5338	1974
146	5375	1938
147	5411	1901
148	5447	1864
149	5483	1827
150	5518	1790
151	5558	1755
152	5596	1719
153	5635	1683
154	5674	1647
155	5712	1611
156	5749	1574
157	5787	1538
158	5828	1502
159	5867	1466
160	5905	1430
161	5941	1393
162	5978	1357
163	6015	1320
164	6054	1284
165	6092	1247
166	6129	1211
167	6167	1174
168	6203	1137
169	6240	1101
170	6278	1064
171	6317	1028
172	6354	991
173	6393	955
174	6432	918
175	6469	882
176	6507	845
177	6545	808
178	6582	772
179	6620	735
180	6658	698
181	6695	662
182	6734	625
183	6773	588
184	6811	552
185	6852	515
186	6892	479
187	6929	442
188	6968	405
189	7007	368
190	7080	333
191	7119	296
192	7158	259
193	7197	222
194	7235	185
195	7273	148
196	7311	111
197	7348	74
198	7385	37
199	7424	0
